"","First.Name","Last.Name","Team","Position","Height.inches.","Weight.pounds.","Age","BMI"
"517","Wilson","Betemit","LA","Third Baseman",75,190,26.59,2.53333333333333
"518","Joe","Mauer","MIN","Catcher",76,220,23.87,2.89473684210526
"519","Chris","Heintz","MIN","Catcher",73,210,32.57,2.87671232876712
"520","Mike","Redmond","MIN","Catcher",71,200,35.82,2.8169014084507
"521","Josh","Rabe","MIN","Designated Hitter",74,210,28.38,2.83783783783784
"522","Rondell","White","MIN","Designated Hitter",73,225,35.02,3.08219178082192
"523","Justin","Morneau","MIN","First Baseman",76,228,25.79,3
"524","Jason","Kubel","MIN","Outfielder",71,200,24.77,2.8169014084507
"525","Michael","Cuddyer","MIN","Outfielder",74,222,27.93,3
"526","Jason","Tyner","MIN","Outfielder",73,160,29.85,2.19178082191781
"527","Lew","Ford","MIN","Outfielder",72,195,30.55,2.70833333333333
"528","Torii","Hunter","MIN","Outfielder",74,211,31.62,2.85135135135135
"529","Glen","Perkins","MIN","Relief Pitcher",71,200,24,2.8169014084507
"530","Julio","DePaula","MIN","Relief Pitcher",72,170,24.16,2.36111111111111
"531","Jesse","Crain","MIN","Relief Pitcher",73,205,25.65,2.80821917808219
"532","Pat","Neshek","MIN","Relief Pitcher",75,205,26.49,2.73333333333333
"533","Juan","Rincon","MIN","Relief Pitcher",71,201,28.1,2.83098591549296
"534","Matt","Guerrier","MIN","Relief Pitcher",75,185,28.58,2.46666666666667
"535","Dennys","Reyes","MIN","Relief Pitcher",75,245,29.86,3.26666666666667
"536","Joe","Nathan","MIN","Relief Pitcher",76,205,32.27,2.69736842105263
"537","Alexi","Casilla","MIN","Second Baseman",69,160,22.61,2.31884057971015
"538","Alejandro","Machado","MIN","Second Baseman",72,184,24.85,2.55555555555556
"539","Luis","Castillo","MIN","Second Baseman",71,190,31.47,2.67605633802817
"540","Jason","Bartlett","MIN","Shortstop",72,180,27.33,2.5
"541","Matt","Garza","MIN","Starting Pitcher",76,185,23.26,2.43421052631579
"542","Francisco","Liriano","MIN","Starting Pitcher",74,185,23.35,2.5
"543","Boof","Bonser","MIN","Starting Pitcher",76,260,25.38,3.42105263157895
"544","Scott","Baker","MIN","Starting Pitcher",76,221,25.45,2.9078947368421
"545","Carlos","Silva","MIN","Starting Pitcher",76,240,27.85,3.1578947368421
"546","Johan","Santana","MIN","Starting Pitcher",72,206,27.97,2.86111111111111
"547","Ramon","Ortiz","MIN","Starting Pitcher",72,175,33.77,2.43055555555556
"548","Luis","Rodriguez","MIN","Third Baseman",69,180,26.67,2.60869565217391
"549","Nick","Punto","MIN","Third Baseman",69,176,29.31,2.55072463768116
"550","Jeff","Cirillo","MIN","Third Baseman",73,200,37.43,2.73972602739726
"551","J.D.","Closser","MLW","Catcher",70,176,27.12,2.51428571428571
"552","Mike","Rivera","MLW","Catcher",72,210,30.48,2.91666666666667
"553","Johnny","Estrada","MLW","Catcher",71,209,30.67,2.94366197183099
"554","Damian","Miller","MLW","Catcher",75,220,37.38,2.93333333333333
"555","Prince","Fielder","MLW","First Baseman",72,260,22.81,3.61111111111111
"556","Tony","Gwynn","MLW","Outfielder",72,185,24.41,2.56944444444444
"557","Corey","Hart","MLW","Outfielder",78,200,24.94,2.56410256410256
"558","Drew","Anderson","MLW","Outfielder",74,195,25.72,2.63513513513514
"559","Laynce","Nix","MLW","Outfielder",72,200,26.33,2.77777777777778
"560","Gabe","Gross","MLW","Outfielder",75,209,27.36,2.78666666666667
"561","Kevin","Mench","MLW","Outfielder",72,225,29.14,3.125
"562","Geoff","Jenkins","MLW","Outfielder",73,212,32.61,2.9041095890411
"563","Brady","Clark","MLW","Outfielder",74,202,33.87,2.72972972972973
"564","Dennis","Sarfate","MLW","Relief Pitcher",76,210,25.89,2.76315789473684
"565","Jose","Capellan","MLW","Relief Pitcher",76,235,26.13,3.0921052631579
"566","Derrick","Turnbow","MLW","Relief Pitcher",75,210,29.1,2.8
"567","Greg","Aquino","MLW","Relief Pitcher",73,188,29.13,2.57534246575342
"568","Grant","Balfour","MLW","Relief Pitcher",74,188,29.17,2.54054054054054
"569","Matt","Wise","MLW","Relief Pitcher",76,200,31.28,2.63157894736842
"570","Francisco","Cordero","MLW","Relief Pitcher",74,235,31.81,3.17567567567568
"571","Brian","Shouse","MLW","Relief Pitcher",71,190,38.43,2.67605633802817
"572","Rickie","Weeks","MLW","Second Baseman",72,195,24.46,2.70833333333333
"573","Tony","Graffanino","MLW","Second Baseman",73,190,34.73,2.6027397260274
"574","J.J.","Hardy","MLW","Shortstop",74,180,24.53,2.43243243243243
"575","Bill","Hall","MLW","Shortstop",72,195,27.17,2.70833333333333
"576","Craig","Counsell","MLW","Shortstop",72,184,36.53,2.55555555555556
"577","Carlos","Villanueva","MLW","Starting Pitcher",74,190,23.26,2.56756756756757
"578","Ben","Hendrickson","MLW","Starting Pitcher",76,190,26.07,2.5
"579","Dave","Bush","MLW","Starting Pitcher",74,212,27.31,2.86486486486486
"580","Chris","Capuano","MLW","Starting Pitcher",75,210,28.53,2.8
"581","Ben","Sheets","MLW","Starting Pitcher",73,218,28.62,2.98630136986301
"582","Claudio","Vargas","MLW","Starting Pitcher",75,228,28.7,3.04
"583","Jeff","Suppan","MLW","Starting Pitcher",74,220,32.16,2.97297297297297
"584","Vinny","Rottino","MLW","Third Baseman",72,195,26.9,2.70833333333333
"585","Corey","Koskie","MLW","Third Baseman",75,219,33.67,2.92
"586","Ramon","Castro","NYM","Catcher",75,235,31,3.13333333333333
"587","Paul","Lo Duca","NYM","Catcher",70,185,34.88,2.64285714285714
"588","Carlos","Delgado","NYM","First Baseman",75,230,34.68,3.06666666666667
"589","Julio","Franco","NYM","First Baseman",73,188,48.52,2.57534246575342
"590","Lastings","Milledge","NYM","Outfielder",72,187,21.9,2.59722222222222
"591","Ben","Johnson","NYM","Outfielder",73,200,25.7,2.73972602739726
"592","Endy","Chavez","NYM","Outfielder",70,189,29.06,2.7
"593","Carlos","Beltran","NYM","Outfielder",73,190,29.85,2.6027397260274
"594","David","Newhan","NYM","Outfielder",70,180,33.48,2.57142857142857
"595","Shawn","Green","NYM","Outfielder",76,200,34.3,2.63157894736842
"596","Moises","Alou","NYM","Outfielder",75,220,40.66,2.93333333333333
"597","Marcos","Carvajal","NYM","Relief Pitcher",76,175,22.53,2.30263157894737
"598","Ambiorix","Burgos","NYM","Relief Pitcher",72,180,22.86,2.5
"599","Jason","Vargas","NYM","Relief Pitcher",72,215,24.07,2.98611111111111
"600","Philip","Humber","NYM","Relief Pitcher",76,210,24.19,2.76315789473684
"601","Duaner","Sanchez","NYM","Relief Pitcher",72,190,27.38,2.63888888888889
"602","Aaron","Heilman","NYM","Relief Pitcher",77,220,28.3,2.85714285714286
"603","Jon","Adkins","NYM","Relief Pitcher",71,210,29.5,2.95774647887324
"604","Jorge","Sosa","NYM","Relief Pitcher",74,170,29.84,2.2972972972973
"605","Juan","Padilla","NYM","Relief Pitcher",72,200,30.03,2.77777777777778
"606","Pedro","Feliciano","NYM","Relief Pitcher",70,185,30.51,2.64285714285714
"607","Scott","Schoeneweis","NYM","Relief Pitcher",72,195,33.41,2.70833333333333
"608","Guillermo","Mota","NYM","Relief Pitcher",76,205,33.6,2.69736842105263
"609","Billy","Wagner","NYM","Relief Pitcher",71,195,35.6,2.74647887323944
"610","Anderson","Hernandez","NYM","Second Baseman",69,168,24.33,2.43478260869565
"611","Jose","Valentin","NYM","Second Baseman",70,195,37.38,2.78571428571429
"612","Jose","Reyes","NYM","Shortstop",72,160,23.72,2.22222222222222
"613","Damion","Easley","NYM","Shortstop",71,190,37.3,2.67605633802817
"614","Mike","Pelfrey","NYM","Starting Pitcher",79,190,23.13,2.40506329113924
"615","Oliver","Perez","NYM","Starting Pitcher",72,190,25.54,2.63888888888889
"616","John","Maine","NYM","Starting Pitcher",76,193,25.81,2.53947368421053
"617","Alay","Soler","NYM","Starting Pitcher",73,240,27.39,3.28767123287671
"618","Dave","Williams","NYM","Starting Pitcher",74,219,27.97,2.95945945945946
"619","Chan","Ho Park","NYM","Starting Pitcher",74,210,33.67,2.83783783783784
"620","Pedro","Martinez","NYM","Starting Pitcher",71,180,35.35,2.53521126760563
"621","Orlando","Hernandez","NYM","Starting Pitcher",74,220,37.39,2.97297297297297
"622","Tom","Glavine","NYM","Starting Pitcher",72,185,40.93,2.56944444444444
"623","David","Wright","NYM","Third Baseman",72,200,24.19,2.77777777777778
"624","Wil","Nieves","NYY","Catcher",71,190,29.43,2.67605633802817
"625","Jorge","Posada","NYY","Catcher",74,205,35.54,2.77027027027027
"626","Jason","Giambi","NYY","Designated Hitter",75,230,36.14,3.06666666666667
"627","Josh","Phelps","NYY","First Baseman",75,220,28.8,2.93333333333333
"628","Andy","Phillips","NYY","First Baseman",72,205,29.9,2.84722222222222
"629","Doug","Mientkiewicz","NYY","First Baseman",74,206,32.7,2.78378378378378
"630","Melky","Cabrera","NYY","Outfielder",71,170,22.55,2.3943661971831
"631","Kevin","Thompson","NYY","Outfielder",70,185,27.45,2.64285714285714
"632","Hideki","Matsui","NYY","Outfielder",74,230,32.72,3.10810810810811
"633","Bobby","Abreu","NYY","Outfielder",72,211,32.97,2.93055555555556
"634","Johnny","Damon","NYY","Outfielder",74,190,33.32,2.56756756756757
"635","Chris","Britton","NYY","Relief Pitcher",75,278,24.21,3.70666666666667
"636","Brian","Bruney","NYY","Relief Pitcher",75,226,25.03,3.01333333333333
"637","Sean","Henn","NYY","Relief Pitcher",76,215,25.85,2.82894736842105
"638","Jose","Veras","NYY","Relief Pitcher",77,230,26.36,2.98701298701299
"639","T.J.","Beam","NYY","Relief Pitcher",79,215,26.51,2.72151898734177
"640","Scott","Proctor","NYY","Relief Pitcher",73,198,30.16,2.71232876712329
"641","Kyle","Farnsworth","NYY","Relief Pitcher",76,240,30.88,3.1578947368421
"642","Luis","Vizcaino","NYY","Relief Pitcher",71,184,32.57,2.59154929577465
"643","Mariano","Rivera","NYY","Relief Pitcher",74,170,37.25,2.2972972972973
"644","Mike","Myers","NYY","Relief Pitcher",75,219,37.68,2.92
"645","Robinson","Cano","NYY","Second Baseman",72,170,24.36,2.36111111111111
"646","Miguel","Cairo","NYY","Second Baseman",73,208,32.82,2.84931506849315
"647","Derek","Jeter","NYY","Shortstop",75,195,32.68,2.6
"648","Humberto","Sanchez","NYY","Starting Pitcher",78,230,23.76,2.94871794871795
"649","Jeff","Karstens","NYY","Starting Pitcher",75,175,24.43,2.33333333333333
"650","Darrell","Rasner","NYY","Starting Pitcher",75,210,26.13,2.8
"651","Chien-Ming","Wang","NYY","Starting Pitcher",75,200,26.92,2.66666666666667
"652","Carl","Pavano","NYY","Starting Pitcher",77,241,31.14,3.12987012987013
"653","Andy","Pettitte","NYY","Starting Pitcher",77,225,34.71,2.92207792207792
"654","Mike","Mussina","NYY","Starting Pitcher",74,185,38.23,2.5
"655","Alex","Rodriguez","NYY","Third Baseman",75,210,31.59,2.8
"656","Jason","Kendall","OAK","Catcher",72,195,32.68,2.70833333333333
"657","Adam","Melhuse","OAK","Catcher",74,200,34.93,2.7027027027027
"658","Mike","Piazza","OAK","Catcher",75,215,38.49,2.86666666666667
"659","Jeremy","Brown","OAK","Designated Hitter",70,226,27.35,3.22857142857143
"660","Nick","Swisher","OAK","First Baseman",72,194,26.26,2.69444444444444
"661","Dan","Johnson","OAK","First Baseman",74,220,27.56,2.97297297297297
"662","Ryan","Goleski","OAK","Outfielder",75,225,24.95,3
"663","Milton","Bradley","OAK","Outfielder",72,205,28.88,2.84722222222222
"664","Bobby","Kielty","OAK","Outfielder",73,225,30.57,3.08219178082192
"665","Mark","Kotsay","OAK","Outfielder",72,201,31.24,2.79166666666667
"666","Shannon","Stewart","OAK","Outfielder",71,200,33.01,2.8169014084507
"667","Huston","Street","OAK","Relief Pitcher",72,190,23.58,2.63888888888889
"668","Chad","Gaudin","OAK","Relief Pitcher",71,165,23.94,2.32394366197183
"669","Jay","Marshall","OAK","Relief Pitcher",77,185,24.01,2.4025974025974
"670","Marcus","McBeth","OAK","Relief Pitcher",73,185,26.52,2.53424657534247
"671","Lenny","DiNardo","OAK","Relief Pitcher",76,195,27.45,2.56578947368421
"672","Ron","Flores","OAK","Relief Pitcher",71,190,27.56,2.67605633802817
"673","Scott","Dunn","OAK","Relief Pitcher",75,200,28.77,2.66666666666667
"674","Justin","Duchscherer","OAK","Relief Pitcher",75,190,29.28,2.53333333333333
"675","Kiko","Calero","OAK","Relief Pitcher",73,180,32.14,2.46575342465753
"676","Jay","Witasick","OAK","Relief Pitcher",76,235,34.51,3.0921052631579
"677","Alan","Embree","OAK","Relief Pitcher",74,190,37.1,2.56756756756757
"678","Donald","Murphy","OAK","Second Baseman",70,180,23.98,2.57142857142857
"679","Mark","Ellis","OAK","Second Baseman",71,180,29.73,2.53521126760563
"680","Mark","Kiger","OAK","Shortstop",71,180,26.75,2.53521126760563
"681","Bobby","Crosby","OAK","Shortstop",75,195,27.13,2.6
"682","Marco","Scutaro","OAK","Shortstop",70,170,31.33,2.42857142857143
"683","Jason","Windsor","OAK","Starting Pitcher",74,233,24.62,3.14864864864865
"684","David","Shafer","OAK","Starting Pitcher",74,180,24.98,2.43243243243243
"685","Rich","Harden","OAK","Starting Pitcher",73,180,25.25,2.46575342465753
"686","Brad","Halsey","OAK","Starting Pitcher",73,180,26.04,2.46575342465753
"687","Joe","Blanton","OAK","Starting Pitcher",75,225,26.22,3
"688","Dan","Haren","OAK","Starting Pitcher",77,220,26.45,2.85714285714286
"689","Joe","Kennedy","OAK","Starting Pitcher",76,237,27.77,3.11842105263158
"690","Esteban","Loaiza","OAK","Starting Pitcher",75,215,35.16,2.86666666666667
"691","Antonio","Perez","OAK","Third Baseman",71,170,27.09,2.3943661971831
"692","Eric","Chavez","OAK","Third Baseman",73,206,29.23,2.82191780821918
"693","Ryan","Budde","PHI","Catcher",71,200,27.54,2.8169014084507
"694","Carlos","Ruiz","PHI","Catcher",72,170,28.1,2.36111111111111
"695","Rod","Barajas","PHI","Catcher",74,220,31.49,2.97297297297297
"696","Chris","Coste","PHI","Catcher",73,200,34.07,2.73972602739726
"697","Greg","Dobbs","PHI","Designated Hitter",73,205,28.66,2.80821917808219
"698","Ryan","Howard","PHI","First Baseman",76,230,27.28,3.02631578947368
"699","Wes","Helms","PHI","First Baseman",76,231,30.8,3.03947368421053
"700","Michael","Bourn","PHI","Outfielder",71,180,24.18,2.53521126760563
"701","Shane","Victorino","PHI","Outfielder",69,160,26.25,2.31884057971015
"702","Chris","Roberson","PHI","Outfielder",74,180,27.52,2.43243243243243
"703","Jayson","Werth","PHI","Outfielder",77,215,27.78,2.79220779220779
"704","Aaron","Rowand","PHI","Outfielder",72,205,29.5,2.84722222222222
"705","Pat","Burrell","PHI","Outfielder",76,223,30.39,2.93421052631579
"706","Fabio","Castro","PHI","Relief Pitcher",68,150,22.11,2.20588235294118
"707","Anderson","Garcia","PHI","Relief Pitcher",74,170,25.94,2.2972972972973
"708","Ryan","Madson","PHI","Relief Pitcher",78,190,26.51,2.43589743589744
"709","Matt","Smith","PHI","Relief Pitcher",77,225,27.71,2.92207792207792
"710","Jim","Ed Warden","PHI","Relief Pitcher",79,190,27.82,2.40506329113924
"711","Eude","Brito","PHI","Relief Pitcher",71,160,28.53,2.25352112676056
"712","Brian","Sanches","PHI","Relief Pitcher",72,190,28.56,2.63888888888889
"713","Geoff","Geary","PHI","Relief Pitcher",72,167,30.51,2.31944444444444
"714","Clay","Condrey","PHI","Relief Pitcher",75,195,31.28,2.6
"715","Antonio","Alfonseca","PHI","Relief Pitcher",77,250,34.87,3.24675324675325
"716","Tom","Gordon","PHI","Relief Pitcher",70,190,39.28,2.71428571428571
"717","Danny","Sandoval","PHI","Second Baseman",71,192,27.9,2.70422535211268
"718","Chase","Utley","PHI","Second Baseman",73,183,28.2,2.50684931506849
"719","Jimmy","Rollins","PHI","Shortstop",68,167,28.26,2.45588235294118
"720","Scott","Mathieson","PHI","Starting Pitcher",75,190,23.01,2.53333333333333
"721","Cole","Hamels","PHI","Starting Pitcher",75,175,23.18,2.33333333333333
"722","Alfredo","Simon","PHI","Starting Pitcher",76,170,25.81,2.23684210526316
"723","Brett","Myers","PHI","Starting Pitcher",76,223,26.54,2.93421052631579
"724","Adam","Eaton","PHI","Starting Pitcher",74,196,29.27,2.64864864864865
"725","Freddy","Garcia","PHI","Starting Pitcher",76,240,31.72,3.1578947368421
"726","Jon","Lieber","PHI","Starting Pitcher",74,230,36.91,3.10810810810811
"727","Jamie","Moyer","PHI","Starting Pitcher",72,175,44.28,2.43055555555556
"728","Abraham","Nunez","PHI","Third Baseman",71,190,30.96,2.67605633802817
"729","Ronny","Paulino","PIT","Catcher",75,215,25.86,2.86666666666667
"730","Humberto","Cota","PIT","Catcher",72,210,28.06,2.91666666666667
"731","Ryan","Doumit","PIT","First Baseman",72,200,25.91,2.77777777777778
"732","Brad","Eldred","PIT","First Baseman",77,245,26.63,3.18181818181818
"733","Adam","LaRoche","PIT","First Baseman",75,180,27.32,2.4
"734","Nate","McLouth","PIT","Outfielder",71,186,25.34,2.61971830985915
"735","Rajai","Davis","PIT","Outfielder",71,197,26.36,2.77464788732394
"736","Jose","Bautista","PIT","Outfielder",72,192,26.36,2.66666666666667
"737","Chris","Duffy","PIT","Outfielder",70,170,26.86,2.42857142857143
"738","Xavier","Nady","PIT","Outfielder",74,205,28.29,2.77027027027027
"739","Jason","Bay","PIT","Outfielder",74,200,28.44,2.7027027027027
"740","Jody","Gerut","PIT","Outfielder",72,190,29.45,2.63888888888889
"741","Matt","Capps","PIT","Relief Pitcher",75,238,23.49,3.17333333333333
"742","Brian","Rogers","PIT","Relief Pitcher",76,190,24.62,2.5
"743","Josh","Sharpless","PIT","Relief Pitcher",77,234,26.09,3.03896103896104
"744","Bryan","Bullington","PIT","Relief Pitcher",76,222,26.41,2.92105263157895
"745","Jonah","Bayliss","PIT","Relief Pitcher",74,200,26.55,2.7027027027027
"746","John","Grabow","PIT","Relief Pitcher",74,210,28.32,2.83783783783784
"747","Juan","Perez","PIT","Relief Pitcher",72,170,28.49,2.36111111111111
"748","Damaso","Marte","PIT","Relief Pitcher",74,200,32.04,2.7027027027027
"749","Marty","McLeary","PIT","Relief Pitcher",77,230,32.34,2.98701298701299
"750","Salomon","Torres","PIT","Relief Pitcher",71,210,34.97,2.95774647887324
"751","Jose","Castillo","PIT","Second Baseman",73,200,25.95,2.73972602739726
"752","Jack","Wilson","PIT","Shortstop",72,192,29.17,2.66666666666667
"753","Zach","Duke","PIT","Starting Pitcher",74,207,23.87,2.7972972972973
"754","Sean","Burnett","PIT","Starting Pitcher",71,190,24.45,2.67605633802817
"755","Tom","Gorzelanny","PIT","Starting Pitcher",74,207,24.64,2.7972972972973
"756","Paul","Maholm","PIT","Starting Pitcher",74,225,24.68,3.04054054054054
"757","Josh","Shortslef","PIT","Starting Pitcher",76,220,25.08,2.89473684210526
"758","Ian","Snell","PIT","Starting Pitcher",71,170,25.33,2.3943661971831
"759","Yoslan","Herrera","PIT","Starting Pitcher",74,200,25.84,2.7027027027027
"760","Shane","Youman","PIT","Starting Pitcher",76,219,27.39,2.88157894736842
"761","Tony","Armas","PIT","Starting Pitcher",75,225,28.84,3
"762","Shawn","Chacon","PIT","Starting Pitcher",75,212,29.19,2.82666666666667
"763","Freddy","Sanchez","PIT","Third Baseman",70,192,29.19,2.74285714285714
"764","Rob","Bowen","SD","Catcher",75,216,26.01,2.88
"765","Josh","Bard","SD","Catcher",75,215,28.92,2.86666666666667
"766","Kevin","Kouzmanoff","SD","Designated Hitter",73,200,25.6,2.73972602739726
"767","Adrian","Gonzalez","SD","First Baseman",74,220,24.81,2.97297297297297
"768","Paul","McAnulty","SD","Outfielder",70,220,26.01,3.14285714285714
"769","Jack","Cust","SD","Outfielder",73,231,28.12,3.16438356164384
"770","Terrmel","Sledge","SD","Outfielder",72,185,29.95,2.56944444444444
"771","Russell","Branyan","SD","Outfielder",75,195,31.2,2.6
"772","Jose","Cruz","SD","Outfielder",72,210,32.87,2.91666666666667
"773","Mike","Cameron","SD","Outfielder",74,200,34.14,2.7027027027027
"774","Brian","Giles","SD","Outfielder",70,205,36.11,2.92857142857143
"775","Cla","Meredith","SD","Relief Pitcher",73,185,23.74,2.53424657534247
